,Titles,Column_Titles,description,URLs
244,National identity by religion,"['Lower tier local authorities Code', 'Lower tier local authorities', 'National identity (9 categories) Code', 'National identity (9 categories)', 'Religion (10 categories) Code', 'Religion (10 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in England and Wales by national identity and by religion. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM088/editions/2021/versions/1
245,National identity by ethnic group,"['Lower tier local authorities Code', 'Lower tier local authorities', 'National identity (9 categories) Code', 'National identity (9 categories)', 'Ethnic group (8 categories) Code', 'Ethnic group (8 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in England and Wales by national identity and by ethnic group. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM087/editions/2021/versions/1
246,National identity by age,"['Lower tier local authorities Code', 'Lower tier local authorities', 'National identity (9 categories) Code', 'National identity (9 categories)', 'Age (B) (12 categories) Code', 'Age (B) (12 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in England and Wales by national identity and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM086/editions/2021/versions/1
247,Multi-religion households by tenure,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Multiple religions in household (7 categories) Code', 'Multiple religions in household (7 categories)', 'Tenure of household (5 categories) Code', 'Tenure of household (5 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify households in England and Wales by whether residents have identified with one or multiple religions, and by tenure. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM085/editions/2021/versions/1
248,Multi-religion households by occupation of Household Reference Person,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Multiple religions in household (7 categories) Code', 'Multiple religions in household (7 categories)', 'Occupation (current) (10 categories) Code', 'Occupation (current) (10 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify Household Reference Persons aged 16 years and over in employment the week before the census in England and Wales by whether residents have identified with one or multiple religions in the household, by occupation. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM084/editions/2021/versions/1
249,Multi-religion households by ethnic group of Household Reference Person,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Multiple religions in household (7 categories) Code', 'Multiple religions in household (7 categories)', 'Ethnic group (8 categories) Code', 'Ethnic group (8 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify Household Reference Persons in England and Wales by whether residents have identified with one or multiple religions in a household, by ethnic group. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM083/editions/2021/versions/1
250,Multi-language households by tenure,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Multiple main languages in household (6 categories) Code', 'Multiple main languages in household (6 categories)', 'Tenure of household (5 categories) Code', 'Tenure of household (5 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify households in England and Wales by whether one or multiple languages are spoken, and by tenure. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM082/editions/2021/versions/1
251,Multi-language households by occupation of Household Reference Person,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Multiple main languages in household (6 categories) Code', 'Multiple main languages in household (6 categories)', 'Occupation (current) (10 categories) Code', 'Occupation (current) (10 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify Household Reference Persons aged 16 years and over in employment the week before the census in England and Wales by whether one or multiple languages are spoken in the household by occupation. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM081/editions/2021/versions/1
252,Multi-language households by ethnic group of Household Reference Person,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Multiple main languages in household (6 categories) Code', 'Multiple main languages in household (6 categories)', 'Ethnic group (8 categories) Code', 'Ethnic group (8 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify Household Reference Persons in England and Wales by whether one or multiple languages are spoken, and by ethnic group. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM080/editions/2021/versions/1
253,Method used to travel to work by occupation,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Method used to travel to workplace (12 categories) Code', 'Method used to travel to workplace (12 categories)', 'Occupation (current) (10 categories) Code', 'Occupation (current) (10 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales in employment the week before the census by method used to travel to work (2001 specification) and by occupation. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM079/editions/2021/versions/1
254,Method used to travel to work by industry,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Method used to travel to workplace (12 categories) Code', 'Method used to travel to workplace (12 categories)', 'Industry (current) (9 categories) Code', 'Industry (current) (9 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales in employment the week before the census by method used to travel to work (2001 specification) and by industry. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM078/editions/2021/versions/1
255,Method used to travel to work by distance travelled to work,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Method used to travel to workplace (12 categories) Code', 'Method used to travel to workplace (12 categories)', 'Distance travelled to work (5 categories) Code', 'Distance travelled to work (5 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in England and Wales by method used to travel to work (2001 specification) and by distance travelled to work. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM077/editions/2021/versions/1
256,Method used to travel to work by car or van availability,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Method used to travel to workplace (12 categories) Code', 'Method used to travel to workplace (12 categories)', 'Car or van availability (3 categories) Code', 'Car or van availability (3 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in households in England and Wales by method used to travel to work (2001 specification) and by car or van availability. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM076/editions/2021/versions/1
257,Method used to travel to work by age,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Method used to travel to workplace (12 categories) Code', 'Method used to travel to workplace (12 categories)', 'Age (6 categories) Code', 'Age (6 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in England and Wales by method used to travel to work (2001 specification) and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM075/editions/2021/versions/1
258,Legal partnership status by sex by age,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Marital and civil partnership status (6 categories) Code', 'Marital and civil partnership status (6 categories)', 'Sex (2 categories) Code', 'Sex (2 categories)', 'Age (6 categories) Code', 'Age (6 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by legal partnership status, by sex and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM074/editions/2021/versions/1
259,Disability by sex by age,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Disability (5 categories) Code', 'Disability (5 categories)', 'Sex (2 categories) Code', 'Sex (2 categories)', 'Age (C) (12 categories) Code', 'Age (C) (12 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in households in England and Wales by disability, by sex, and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM073/editions/2021/versions/1
260,Disability by religion by sex,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Disability - Equality act disabled (4 categories) Code', 'Disability - Equality act disabled (4 categories)', 'Religion (10 categories) Code', 'Religion (10 categories)', 'Sex (2 categories) Code', 'Sex (2 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in England and Wales by disability, by religion, and by sex. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM072/editions/2021/versions/1
261,Disability by provision of unpaid care by sex,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Disability - Equality act disabled (4 categories) Code', 'Disability - Equality act disabled (4 categories)', 'Unpaid care (5 categories) Code', 'Unpaid care (5 categories)', 'Sex (2 categories) Code', 'Sex (2 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 5 years and over in households in England and Wales by disability, by provision of unpaid care, and by sex. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM071/editions/2021/versions/1
262,Disability by NS-SEC by age,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Disability - Equality act disabled (4 categories) Code', 'Disability - Equality act disabled (4 categories)', 'National Statistics Socio-economic Classification (NS-SeC) (10 categories) Code', 'National Statistics Socio-economic Classification (NS-SeC) (10 categories)', 'Age (B) (3 categories) Code', 'Age (B) (3 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by disability, by NS-SEC, and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM070/editions/2021/versions/1
263,Disability by general health by age,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Disability - Equality act disabled (4 categories) Code', 'Disability - Equality act disabled (4 categories)', 'General health (3 categories) Code', 'General health (3 categories)', 'Age (C) (8 categories) Code', 'Age (C) (8 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in households in England and Wales by disability, by general health, and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM069/editions/2021/versions/1
264,Disability by car or van availability,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Disability - Equality act disabled (4 categories) Code', 'Disability - Equality act disabled (4 categories)', 'Car or van availability (3 categories) Code', 'Car or van availability (3 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in households in England and Wales by disability and by car or van availability. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM068/editions/2021/versions/1
265,Living arrangements by sex by age,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Living arrangements (10 categories) Code', 'Living arrangements (10 categories)', 'Sex (2 categories) Code', 'Sex (2 categories)', 'Age (6 categories) Code', 'Age (6 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in households in England and Wales by living arrangements, by sex, and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM067/editions/2021/versions/1
266,Living arrangements by age - Household Reference Person,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Living arrangements (10 categories) Code', 'Living arrangements (10 categories)', 'Age (C) (5 categories) Code', 'Age (C) (5 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify the Household Reference Persons aged 16 years and over in England and Wales by living arrangements and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM066/editions/2021/versions/1
267,Industry by sex,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Industry (current) (9 categories) Code', 'Industry (current) (9 categories)', 'Sex (2 categories) Code', 'Sex (2 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in employment the week before the census in England and Wales by industry and by sex. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM065/editions/2021/versions/1
268,Industry by ethnic group,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Industry (current) (9 categories) Code', 'Industry (current) (9 categories)', 'Ethnic group (8 categories) Code', 'Ethnic group (8 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in employment the week before the census in England and Wales by industry and by ethnic group. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM064/editions/2021/versions/1
269,Industry by economic activity status,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Industry (current) (9 categories) Code', 'Industry (current) (9 categories)', 'Economic activity status (7 categories) Code', 'Economic activity status (7 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in employment the week before the census in England and Wales by industry and by economic activity status. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM063/editions/2021/versions/1
270,Industry by age,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Industry (current) (9 categories) Code', 'Industry (current) (9 categories)', 'Age (6 categories) Code', 'Age (6 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in employment the week before the census in England and Wales by industry and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM062/editions/2021/versions/1
271,Household composition by religion of Household Reference Person,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Household composition (6 categories) Code', 'Household composition (6 categories)', 'Religion (10 categories) Code', 'Religion (10 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify Household Reference Persons in England and Wales by household composition and by religion. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM061/editions/2021/versions/1
272,Household composition by number of people in household with a disability,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Household composition (6 categories) Code', 'Household composition (6 categories)', 'Number of disabled people in household (4 categories) Code', 'Number of disabled people in household (4 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify households in England and Wales by household composition and by number of people in household with a disability. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM060/editions/2021/versions/1
273,Household composition by number of bedrooms,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Household composition (6 categories) Code', 'Household composition (6 categories)', 'Number of Bedrooms (5 categories) Code', 'Number of Bedrooms (5 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify households in England and Wales by household composition and by number of bedrooms. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM059/editions/2021/versions/1
274,Household composition by ethnic group of Household Reference Person,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Household composition (6 categories) Code', 'Household composition (6 categories)', 'Ethnic group (8 categories) Code', 'Ethnic group (8 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify Household Reference Persons in England and Wales by household composition and by ethnic group. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM058/editions/2021/versions/1
275,Household composition by age,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Household composition (15 categories) Code', 'Household composition (15 categories)', 'Age (5 categories) Code', 'Age (5 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in households in England and Wales by household composition, and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM057/editions/2021/versions/1
276,Hours worked by sex by age,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Hours worked (5 categories) Code', 'Hours worked (5 categories)', 'Sex (2 categories) Code', 'Sex (2 categories)', 'Age (6 categories) Code', 'Age (6 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in employment the week before the census in England and Wales by hours worked, by sex, and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM056/editions/2021/versions/1
277,Highest level of qualification by sex,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Highest level of qualification (8 categories) Code', 'Highest level of qualification (8 categories)', 'Sex (2 categories) Code', 'Sex (2 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by highest level of qualification and by sex. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM055/editions/2021/versions/1
278,Highest level of qualification by religion,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Highest level of qualification (8 categories) Code', 'Highest level of qualification (8 categories)', 'Religion (10 categories) Code', 'Religion (10 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by highest level of qualification and by religion. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM054/editions/2021/versions/1
279,Highest level of qualification by main language,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Highest level of qualification (8 categories) Code', 'Highest level of qualification (8 categories)', 'Main language (detailed) (23 categories) Code', 'Main language (detailed) (23 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by highest level of qualification and by main language. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM053/editions/2021/versions/1
280,Highest level of qualification by disability,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Highest level of qualification (8 categories) Code', 'Highest level of qualification (8 categories)', 'Disability - Equality act disabled (4 categories) Code', 'Disability - Equality act disabled (4 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by highest level of qualification and by disability. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM052/editions/2021/versions/1
281,Highest level of qualification by household composition,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Highest level of qualification (8 categories) Code', 'Highest level of qualification (8 categories)', 'Household composition (6 categories) Code', 'Household composition (6 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in households in England and Wales by highest level of qualification and by household composition. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM051/editions/2021/versions/1
282,Highest level of qualification by ethnic group,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Highest level of qualification (8 categories) Code', 'Highest level of qualification (8 categories)', 'Ethnic group (8 categories) Code', 'Ethnic group (8 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by highest level of qualification and by ethnic group. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM049/editions/2021/versions/1
283,Highest level of qualification by economic activity status,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Highest level of qualification (8 categories) Code', 'Highest level of qualification (8 categories)', 'Economic activity status (7 categories) Code', 'Economic activity status (7 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by highest level of qualification and by economic activity status. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM048/editions/2021/versions/1
284,Highest level of qualification by country of birth,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Highest level of qualification (8 categories) Code', 'Highest level of qualification (8 categories)', 'Country of birth (13 categories) Code', 'Country of birth (13 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by highest level of qualification and by country of birth. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM047/editions/2021/versions/1
285,General health by tenure by age,"['Lower tier local authorities Code', 'Lower tier local authorities', 'General health (3 categories) Code', 'General health (3 categories)', 'Tenure of household (5 categories) Code', 'Tenure of household (5 categories)', 'Age (C) (5 categories) Code', 'Age (C) (5 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in households in England and Wales by general health, tenure, and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM046/editions/2021/versions/1
286,General health by religion by age,"['Lower tier local authorities Code', 'Lower tier local authorities', 'General health (3 categories) Code', 'General health (3 categories)', 'Religion (10 categories) Code', 'Religion (10 categories)', 'Age (B) (4 categories) Code', 'Age (B) (4 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in England and Wales by general health, by religion, and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM045/editions/2021/versions/1
287,General health by NS-SEC,"['Lower tier local authorities Code', 'Lower tier local authorities', 'General health (6 categories) Code', 'General health (6 categories)', 'National Statistics Socio-economic Classification (NS-SeC) (10 categories) Code', 'National Statistics Socio-economic Classification (NS-SeC) (10 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by general health and by NS-SEC. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM044/editions/2021/versions/1
288,General health by ethnic group by age,"['Lower tier local authorities Code', 'Lower tier local authorities', 'General health (3 categories) Code', 'General health (3 categories)', 'Ethnic group (8 categories) Code', 'Ethnic group (8 categories)', 'Age (B) (4 categories) Code', 'Age (B) (4 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in England and Wales by general health, by ethnic group, and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM043/editions/2021/versions/1
289,General health by car or van availability by sex,"['Lower tier local authorities Code', 'Lower tier local authorities', 'General health (3 categories) Code', 'General health (3 categories)', 'Car or van availability (3 categories) Code', 'Car or van availability (3 categories)', 'Sex (2 categories) Code', 'Sex (2 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in households in England and Wales by general health, car or van availability, and by sex. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM042/editions/2021/versions/1
290,Gender identity by occupation,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Gender identity (4 categories) Code', 'Gender identity (4 categories)', 'Occupation (current) (10 categories) Code', 'Occupation (current) (10 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in employment the week before the census in England and Wales by gender identity and occupation. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM041/editions/2021/versions/1
291,Gender identity by legal partnership status,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Gender identity (7 categories) Code', 'Gender identity (7 categories)', 'Marital and civil partnership status (7 categories) Code', 'Marital and civil partnership status (7 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by gender identity and legal partnership status. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM040/editions/2021/versions/1
292,Gender identity by general health,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Gender identity (7 categories) Code', 'Gender identity (7 categories)', 'General health (6 categories) Code', 'General health (6 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by gender identity and general health. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM039/editions/2021/versions/1
293,Gender identity by ethnic group,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Gender identity (4 categories) Code', 'Gender identity (4 categories)', 'Ethnic group (8 categories) Code', 'Ethnic group (8 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by gender identity and ethnic group. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM038/editions/2021/versions/1
294,Gender identity by economic activity status,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Gender identity (4 categories) Code', 'Gender identity (4 categories)', 'Economic activity status (10 categories) Code', 'Economic activity status (10 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by gender identity and economic activity status. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM037/editions/2021/versions/1
295,Gender identity by disability,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Gender identity (7 categories) Code', 'Gender identity (7 categories)', 'Disability - Equality act disabled (4 categories) Code', 'Disability - Equality act disabled (4 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by gender identity and disability. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM036/editions/2021/versions/1
296,Gender identity by age,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Gender identity (7 categories) Code', 'Gender identity (7 categories)', 'Age (6 categories) Code', 'Age (6 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by gender identity and age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM035/editions/2021/versions/1
297,Family status by number of parents working by economic activity status,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Family status by workers in generation 1 (8 categories) Code', 'Family status by workers in generation 1 (8 categories)', 'Economic activity status (10 categories) Code', 'Economic activity status (10 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in families with dependent children in England and Wales by family status, by number of parents working, and by economic activity status. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM034/editions/2021/versions/1
298,Ethnic group by sex by age,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Ethnic group (20 categories) Code', 'Ethnic group (20 categories)', 'Sex (2 categories) Code', 'Sex (2 categories)', 'Age (C) (5 categories) Code', 'Age (C) (5 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in England and Wales by ethnic group, by sex, and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM032/editions/2021/versions/1
299,Ethnic group by religion,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Ethnic group (8 categories) Code', 'Ethnic group (8 categories)', 'Religion (10 categories) Code', 'Religion (10 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in England and Wales by ethnic group and by religion. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM031/editions/2021/versions/1
300,Ethnic group by provision of unpaid care by general health,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Ethnic group (8 categories) Code', 'Ethnic group (8 categories)', 'Unpaid care (5 categories) Code', 'Unpaid care (5 categories)', 'General health (3 categories) Code', 'General health (3 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 5 years and over in England and Wales by ethnic group, by provision of unpaid care, and by general health. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM030/editions/2021/versions/1
301,Ethnic group by occupancy rating (rooms),"['Lower tier local authorities Code', 'Lower tier local authorities', 'Ethnic group (8 categories) Code', 'Ethnic group (8 categories)', 'Occupancy rating for rooms (5 categories) Code', 'Occupancy rating for rooms (5 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in households in England and Wales by ethnic group and by occupancy rating (rooms). The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM029/editions/2021/versions/1
302,Ethnic group by occupancy rating (bedrooms),"['Lower tier local authorities Code', 'Lower tier local authorities', 'Ethnic group (8 categories) Code', 'Ethnic group (8 categories)', 'Occupancy rating for bedrooms (5 categories) Code', 'Occupancy rating for bedrooms (5 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in households in England and Wales by ethnic group and by occupancy rating (bedrooms). The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM028/editions/2021/versions/1
303,Ethnic group by age of arrival in the UK,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Ethnic group (8 categories) Code', 'Ethnic group (8 categories)', 'Age of arrival in the UK (8 categories) Code', 'Age of arrival in the UK (8 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in England and Wales by ethnic group and by age of arrival in the UK. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM027/editions/2021/versions/1
304,Ethnic group by accommodation type,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Ethnic group (8 categories) Code', 'Ethnic group (8 categories)', 'Accommodation type (5 categories) Code', 'Accommodation type (5 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in households in England and Wales by ethnic group and by accommodation type. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM026/editions/2021/versions/1
